"id","category","food_item","can_consume","reason","recommended_limit","nutritional_benefit","potential_risk","classification","image"
"1","Beverages","Coffee","Yes (limit)","High caffeine content","Max 200mg/day","Some antioxidants","Miscarriage risk","Safe to Consume","https://unsplash.com/photos/a-cup-of-coffee-sitting-on-top-of-a-pile-of-coffee-beans-8blVdQB0hoI"
"2","Beverages","Alcohol","No","Risk of fetal alcohol syndrome (FAS)","Avoid entirely","None","Fetal alcohol syndrome","Not Recommended","https://unsplash.com/photos/a-bottle-of-wine-on-a-table-knd7VOzW_bQ"
"3","Beverages","Green Tea","Yes (limit)","High in antioxidants","Moderate intake","Antioxidants","Contains caffeine","Safe to Consume","https://unsplash.com/photos/gray-bowl-_V4plb9FqIM"
"4","Beverages","Herbal Teas (e.g., peppermint)","Yes","Safe and soothing","Moderate intake","Soothing properties","Some herbs unsafe in excess","Safe to Consume","https://unsplash.com/photos/photo-of-clear-glass-mug-vtntD9h1xBw"
"5","Beverages","Fresh Fruit Juices","Yes","High in vitamins","No limit","Vitamin C, hydration","None","Safe to Consume","https://unsplash.com/photos/yellow-fruit-juice-on-glass-cup-pPhN8HFzkDE"
"6","Beverages","Soft Drinks (Sodas)","Yes (limit)","High sugar content","Limit intake","None","High in sugar, empty calories","Safe to Consume","https://unsplash.com/photos/a-close-up-of-a-glass-of-soda-MRMVqUaNZSE"
"7","Beverages","Water","Yes","Essential for hydration","No limit","Hydration","None","Safe to Consume","https://unsplash.com/photos/person-holding-clear-glass-cup-with-half-filled-water-12Kb5ynfxso"
"8","Beverages","Energy Drinks","No","High caffeine and stimulants","Avoid entirely","None","Caffeine, stimulants","Not Recommended","https://unsplash.com/photos/two-blank-red-aluminum-cans-with-drops-of-water-on-them-over-red-background-concept-of-fizzy-drink-or-beer-packaging-3d-rendering-9q45ZUFUvG8"
"9","Dairy","Hard Cheese","Yes","Safe if made from pasteurized milk","No limit","Calcium","None","Recommended","https://unsplash.com/photos/baked-bread-KaK2jp8ie8s"
"10","Dairy","Soft Cheese (Brie)","No","Risk of listeria","Avoid entirely","None","Listeriosis","Not Recommended","https://unsplash.com/photos/a-wooden-cutting-board-topped-with-cheese-and-figs-rS6KznGUQjY"
"11","Dairy","Feta (pasteurized)","Yes","Safe if made from pasteurized milk","No limit","Calcium","None","Recommended","https://unsplash.com/photos/a-plate-of-cheese-jntQPBIK_sE"
"12","Dairy","Soft Cheese (Unpasteurized)","No","Risk of listeria","Avoid entirely","None","Listeriosis","Not Recommended","https://unsplash.com/photos/a-piece-of-cheese-sitting-on-top-of-a-piece-of-wax-paper-ii721ucVTTw"
"13","Dairy","Yogurt (plain)","Yes","Safe and nutritious","No limit","Probiotics, calcium","None","Recommended","https://unsplash.com/photos/a-bowl-of-yogurt-with-a-spoon-in-it-NFHeBysjCTI"
"14","Dairy","Ice Cream (store-bought)","Yes","Safe if pasteurized","No limit","Calcium, energy","None","Recommended","https://unsplash.com/photos/a-hand-reaching-for-an-ice-cream-cone-q6nUO6tri_M"
"15","Dairy","Milk","Yes","Rich in calcium","No limit","Calcium, protein","None","Recommended","https://unsplash.com/photos/a-person-pouring-milk-into-a-glass-cup-Gp3UiTv4cAI"
"16","Fish","Salmon","Yes","Low mercury, high in omega-3","2-3 servings/week","Omega-3, protein","None","Recommended","https://unsplash.com/photos/a-piece-of-sushi-with-chopsticks-sticking-out-of-it-5biIvW0rZnc"
"17","Fish","Swordfish","No","High mercury content","Avoid entirely","None","Mercury poisoning","Not Recommended","https://unsplash.com/photos/a-fish-that-is-swimming-in-the-water-FPleg6ijF8s"
"18","Fish","Canned Tuna","Yes (limit)","Moderate mercury content","Max 2 servings/week","Protein, omega-3","Mercury levels","Recommended","https://unsplash.com/photos/bread-radishes-and-other-ingredients-on-a-wooden-tray-lG7daOIYvbI"
"19","Fish","Sardines","Yes","Low mercury, high in omega-3 and calcium","No limit","Omega-3, calcium","None","Recommended","https://unsplash.com/photos/fresh-fish-iL-nzcmcnWc"
"20","Fish","Shark","No","Very high mercury","Avoid entirely","None","Mercury poisoning","Not Recommended","https://unsplash.com/photos/photo-of-gray-and-white-shark-ZEr3XTwFxxE"
"21","Fish","Shrimp","Yes","Low mercury, safe when cooked","2-3 servings/week","Protein, omega-3","None","Recommended","https://unsplash.com/photos/a-plastic-container-filled-with-lots-of-shrimp-cAGB3DoWIm8"
"22","Fish","Mackerel (King)","No","High mercury content","Avoid entirely","None","Mercury poisoning","Not Recommended","https://unsplash.com/photos/gray-fish-lot-2AcwMjihSUw"
"23","Fish","Anchovies","Yes","Low mercury, high in omega-3","No limit","Omega-3, calcium","None","Recommended","https://unsplash.com/photos/small-fish-8RSULPhHRy4"
"24","Fish","Crab","No","Low mercury, good source of protein","No limit","Protein, low mercury","None","Not Recommended","https://unsplash.com/photos/cooked-crabs-v9_9mjOXxls"
"25","Fruits","Berries","Yes","Safe and nutritious","No limit","Antioxidants, fiber","None","Safe to Consume","https://unsplash.com/photos/strawberries-on-white-ceramic-bowl-LHLPeIGVUBw"
"26","Fruits","Bananas","Yes","Rich in potassium","No limit","Potassium, energy","None","Safe to Consume","https://unsplash.com/photos/three-ripe-bananas-on-a-yellow-background-gcJQzVTpcoY"
"27","Fruits","Papaya (ripe)","Yes","Safe when ripe","No limit","Vitamins A, C","None","Safe to Consume","https://unsplash.com/photos/sliced-papaya-on-green-banana-leaf-Ooj1c6fhdFM"
"28","Fruits","Papaya (unripe)","No","May induce contractions","Avoid entirely","None","Early contractions","Not Recommended","https://unsplash.com/photos/a-close-up-of-a-bunch-of-green-fruit-AdlGJRvOebQ"
"29","Fruits","Pineapple","Yes","Safe in moderation","Moderate intake","Vitamin C, fiber","None","Safe to Consume","https://unsplash.com/photos/green-and-yellow-pineapple-fruits-Wf-6i0dNqfc"
"30","Fruits","Grapes","Yes","Safe and nutritious","Moderate intake","Antioxidants, fiber","May cause heartburn","Safe to Consume","https://unsplash.com/photos/a-bowl-filled-with-green-grapes-on-top-of-a-table-WoytTqGfMBo"
"31","Fruits","Citrus (Oranges, Lemons)","Yes","High in vitamin C","No limit","Vitamin C","None","Safe to Consume","https://unsplash.com/photos/flat-lay-photography-of-sliced-pomegranate-lime-and-lemon-7r1HxvVC7AY"
"32","Fruits","Apples","Yes","High in fiber and vitamins","No limit","Fiber, vitamins","None","Safe to Consume","https://unsplash.com/photos/a-paper-bag-filled-with-red-and-green-apples-B4NCdzCGmnw"
"33","Fruits","Avocados","Yes","Rich in healthy fats and folate","No limit","Healthy fats, folate","None","Recommended","https://unsplash.com/photos/avocados-in-a-bowl-surrounded-by-other-vegetables-75D-tVCiutY"
"34","Grains","Whole Wheat Bread","Yes","Rich in fiber","No limit","Fiber, B vitamins","None","Safe to Consume","https://unsplash.com/photos/a-loaf-of-bread-sitting-on-top-of-a-cutting-board-GK7v9dePZhY"
"35","Grains","White Bread","Yes (limit)","Less nutritious, high in carbs","Moderate intake","Carbs","High in simple sugars","Safe to Consume","https://unsplash.com/photos/a-person-cutting-a-sandwich-QQ0pMIN9CYI"
"36","Grains","Quinoa","Yes","High in protein and fiber","No limit","Protein, fiber","None","Safe to Consume","https://unsplash.com/photos/a-close-up-view-of-a-carpet-texture-0zgiwzaE5fo"
"37","Grains","Brown Rice","Yes","Rich in fiber and essential nutrients","No limit","Fiber, B vitamins","None","Safe to Consume","https://unsplash.com/photos/a-close-up-of-a-pile-of-brown-rice-LL_D1HhOsBc"
"38","Grains","Couscous","Yes","Nutritious, low in fat","No limit","Fiber, carbs","None","Safe to Consume","https://unsplash.com/photos/white-ceramic-plate-with-white-rice-5PaK4s-fdCM"
"39","Grains","Oats","Yes","Rich in fiber and nutrients","No limit","Fiber, nutrients","None","Safe to Consume","https://unsplash.com/photos/a-close-up-of-a-pile-of-oats-6rxI2hUnEzo"
"40","Grains","Lentils","Yes","High in fiber and plant protein","No limit","Fiber, protein","None","Safe to Consume","https://unsplash.com/photos/yellow-and-brown-beans-on-brown-wooden-table-J5KMugvdP44"
"41","Grains","Nuts","Yes","Rich in healthy fats and protein","No limit","Healthy fats, protein","None","Safe to Consume","https://unsplash.com/photos/assorted-seed-lot-fZ7-IAReeSo"
"42","Grains","Seeds","Yes","High in omega-3 and fiber","No limit","Omega-3, fiber","None","Recommended","https://unsplash.com/photos/a-close-up-of-a-pile-of-seeds-bt1mUm-CLmM"
"43","Meat","Cooked Chicken","Yes","Safe when thoroughly cooked","No limit","Protein, iron","None","Recommended","https://unsplash.com/photos/bread-on-white-ceramic-plate-HQ22vVXhWcc"
"44","Meat","Raw/Undercooked Meat","No","Risk of toxoplasmosis","Avoid entirely","None","Toxoplasmosis, E. coli, Salmonella","Not Recommended","https://unsplash.com/photos/close-up-of-beef-cooking-food-photography-recipe-idea-hV7ro95YDOc"
"45","Meat","Processed Sausages","No","Risk of listeria","Avoid entirely","None","Listeriosis, nitrites","Not Recommended","https://unsplash.com/photos/delicious-sausages-bbq-at-market-fest-grilling-on-open-grill-outdoor-kitchen-food-festival-in-city-tasty-food-roasting-food-court-summer-picnic-5aKJeIumdK0"
"46","Meat","Bacon (cooked)","Yes (limit)","High in salt, processed","Limit intake","Protein","High sodium, nitrates","Safe to Consume","https://unsplash.com/photos/bacon-is-being-cooked-in-a-frying-pan-3y5QBFXZTHM"
"47","Meat","Liver","No","High in vitamin A, risk of toxicity","Avoid entirely","None","Vitamin A toxicity","Not Recommended","https://unsplash.com/photos/a-pair-of-livers-are-shown-in-the-air-Ur5HD4gC2t0"
"48","Meat","Deli Meats","No","Risk of listeria","Avoid entirely","None","Listeriosis","Not Recommended","https://unsplash.com/photos/a-plate-of-food-uTFxry_zx38"
